state,metropolitan_nonmetropolitan,county,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,year
COLORADO,Nonmetropolitan County,Prowers,12,0,0,0,12,40,8,29,3,1,2024
COLORADO,Nonmetropolitan County,Rio Blanco,1,0,1,0,0,11,3,8,0,0,2024
COLORADO,Nonmetropolitan County,Rio Grande,9,0,0,0,9,6,4,1,1,0,2024
COLORADO,Nonmetropolitan County,Routt,18,3,6,1,8,42,9,30,3,0,2024
COLORADO,Nonmetropolitan County,Saguache,8,0,0,0,8,44,9,29,6,0,2024
COLORADO,Nonmetropolitan County,San Miguel,3,0,1,0,2,2,0,1,1,0,2024
COLORADO,Nonmetropolitan County,Summit,30,0,19,0,11,150,12,133,5,2,2024
COLORADO,Nonmetropolitan County,Washington,9,0,0,0,9,43,11,29,3,0,2024
COLORADO,Nonmetropolitan County,Yuma,3,0,2,0,1,22,4,15,3,1,2024
DELAWARE,Metropolitan County,New Castle County Police Department,692,3,50,62,577,2903,392,1744,767,1,2024
FLORIDA2,Metropolitan County,Alachua,219,3,21,15,180,1205,257,838,110,1,2024
FLORIDA2,Metropolitan County,Baker,79,0,6,2,71,174,26,117,31,0,2024
FLORIDA2,Metropolitan County,Bay,246,2,26,6,212,1146,200,883,63,0,2024
FLORIDA2,Metropolitan County,Brevard,439,2,14,33,390,1790,188,1540,62,2,2024
FLORIDA2,Metropolitan County,Charlotte,207,4,14,6,183,1392,225,1082,85,4,2024
FLORIDA2,Metropolitan County,Clay,437,1,91,19,326,1750,225,1471,54,7,2024
FLORIDA2,Metropolitan County,Collier,571,5,31,98,437,2636,200,2138,298,4,2024
FLORIDA2,Metropolitan County,Flagler,147,0,41,5,101,726,81,613,32,8,2024
FLORIDA2,Metropolitan County,Hernando,424,11,38,38,337,2109,291,1692,126,12,2024
FLORIDA2,Metropolitan County,Hillsborough,1569,46,223,135,1165,6026,491,4999,536,25,2024
FLORIDA2,Metropolitan County,Jacksonville Sheriff's Office,5708,61,410,646,4591,26601,3263,19808,3530,82,2024
FLORIDA2,Metropolitan County,Jefferson,34,0,1,0,33,67,15,51,1,2,2024
FLORIDA2,Metropolitan County,Lee,1201,9,155,203,834,4575,462,3517,596,14,2024
FLORIDA2,Metropolitan County,Leon,481,5,83,48,345,1751,255,1412,84,5,2024
FLORIDA2,Metropolitan County,Marion,667,10,92,22,543,2370,428,1719,223,4,2024
FLORIDA2,Metropolitan County,Martin,247,0,53,22,172,1163,161,984,18,6,2024
FLORIDA2,Metropolitan County,Miami-Dade,4838,74,432,1059,3273,26623,1802,21475,3346,58,2024
FLORIDA2,Metropolitan County,Nassau,128,0,30,2,96,107,43,54,10,3,2024
FLORIDA2,Metropolitan County,Palm Beach,1288,9,173,173,933,5926,542,4744,640,25,2024
FLORIDA2,Metropolitan County,Pinellas,386,11,60,31,284,2268,282,1754,232,8,2024
FLORIDA2,Metropolitan County,Polk,1276,8,69,106,1093,3095,546,2215,334,6,2024
FLORIDA2,Metropolitan County,Santa Rosa,232,5,19,12,196,878,148,694,36,2,2024
FLORIDA2,Metropolitan County,Sarasota,349,9,29,34,277,2962,415,2281,266,5,2024
FLORIDA2,Metropolitan County,Seminole,357,4,48,34,271,1453,138,1197,118,4,2024
FLORIDA2,Metropolitan County,Wakulla,56,0,5,0,51,244,42,202,0,0,2024
FLORIDA2,Metropolitan County,Walton,120,1,15,4,100,399,77,299,23,2,2024
FLORIDA2,Metropolitan County,Washington,21,0,6,0,15,43,12,23,8,1,2024
FLORIDA2,Nonmetropolitan County,Columbia,186,0,14,10,162,424,70,316,38,4,2024
FLORIDA2,Nonmetropolitan County,DeSoto,80,2,7,4,67,286,47,222,17,1,2024
FLORIDA2,Nonmetropolitan County,Gulf,17,1,1,0,15,51,21,30,0,0,2024
FLORIDA2,Nonmetropolitan County,Hardee,51,0,8,2,41,177,32,138,7,0,2024
FLORIDA2,Nonmetropolitan County,Hendry,52,0,0,0,52,102,17,67,18,1,2024
FLORIDA2,Nonmetropolitan County,Madison,37,0,1,1,35,132,44,84,4,1,2024
FLORIDA2,Nonmetropolitan County,Monroe,125,1,5,21,98,392,33,324,35,1,2024
FLORIDA2,Nonmetropolitan County,Okeechobee,116,0,14,4,98,421,81,315,25,2,2024
FLORIDA2,Nonmetropolitan County,Putnam,41,0,14,5,22,355,72,243,40,1,2024
FLORIDA2,Nonmetropolitan County,Taylor,53,0,1,2,50,161,58,74,29,2,2024
GEORGIA,Metropolitan County,Barrow,95,8,16,2,69,699,66,597,36,3,2024
GEORGIA,Metropolitan County,Bartow,64,1,10,5,48,922,112,711,99,15,2024
GEORGIA,Metropolitan County,Bibb,1740,28,114,188,1410,6280,953,4139,1188,37,2024
GEORGIA,Metropolitan County,Brooks,10,0,2,0,8,96,21,60,15,0,2024
GEORGIA,Metropolitan County,Bryan,20,0,6,1,13,209,27,157,25,0,2024
GEORGIA,Metropolitan County,Burke ,37,1,1,1,34,181,34,123,24,3,2024
GEORGIA,Metropolitan County,Butts,32,2,3,5,22,119,13,84,22,1,2024
GEORGIA,Metropolitan County,Carroll,97,0,12,7,78,485,90,335,60,4,2024
GEORGIA,Metropolitan County,Catoosa,75,1,15,3,56,204,32,145,27,4,2024
GEORGIA,Metropolitan County,Cherokee,180,1,27,6,146,776,103,607,66,1,2024
GEORGIA,Metropolitan County,Clarke,0,0,0,0,0,0,0,0,0,0,2024
GEORGIA,Metropolitan County,Cobb,36,1,3,1,31,132,0,129,3,0,2024
GEORGIA,Metropolitan County,Cobb County Police Department,1249,13,150,157,929,6816,734,5248,834,24,2024
GEORGIA,Metropolitan County,Columbia,107,1,17,7,82,944,105,782,57,3,2024
GEORGIA,Metropolitan County,Coweta,404,5,72,16,311,697,99,539,59,1,2024
GEORGIA,Metropolitan County,Crawford,15,1,1,1,12,108,25,59,24,0,2024
GEORGIA,Metropolitan County,Dade,12,0,2,0,10,59,11,47,1,0,2024
GEORGIA,Metropolitan County,Dawson,50,0,11,1,38,268,17,251,0,0,2024
